CMDLINE C:\projet\projetPlau\palu-env\Scripts\python.exe .\app.py
MEM 1.746094 1673634471.5306
MEM 3.253906 1673634471.6326
MEM 3.253906 1673634471.7436
MEM 3.253906 1673634471.8536
MEM 3.253906 1673634471.9636
MEM 3.253906 1673634472.0716
MEM 3.253906 1673634472.1836
MEM 3.253906 1673634472.2916
MEM 3.253906 1673634472.4016
MEM 3.253906 1673634472.5116
MEM 3.253906 1673634472.6236
MEM 3.253906 1673634472.7336
MEM 3.253906 1673634472.8436
MEM 3.253906 1673634472.9536
MEM 3.253906 1673634473.0646
MEM 3.253906 1673634473.1757
MEM 3.253906 1673634473.2876
MEM 3.253906 1673634473.3976
MEM 3.253906 1673634473.5056
MEM 3.253906 1673634473.6157
MEM 3.253906 1673634473.7277
MEM 3.253906 1673634473.8366
MEM 3.253906 1673634473.9466
MEM 3.253906 1673634474.0586
MEM 3.253906 1673634474.1686
MEM 3.253906 1673634474.2806
MEM 3.253906 1673634474.3926
MEM 3.253906 1673634474.5026
MEM 3.253906 1673634474.6126
MEM 3.253906 1673634474.7226
MEM 3.253906 1673634474.8326
MEM 3.253906 1673634474.9447
MEM 3.253906 1673634475.0526
MEM 3.253906 1673634475.1626
MEM 3.253906 1673634475.2746
MEM 3.253906 1673634475.3846
MEM 3.253906 1673634475.4967
MEM 3.253906 1673634475.6066
MEM 3.253906 1673634475.7166
MEM 3.253906 1673634475.8236
MEM 3.253906 1673634475.9346
MEM 3.253906 1673634476.0466
MEM 3.253906 1673634476.1567
MEM 3.253906 1673634476.2676
MEM 3.253906 1673634476.3766
MEM 3.253906 1673634476.4882
MEM 3.253906 1673634476.5979
MEM 3.253906 1673634476.7099
MEM 3.253906 1673634476.8199
MEM 3.253906 1673634476.9319
MEM 3.253906 1673634477.0399
MEM 3.253906 1673634477.1479
MEM 3.253906 1673634477.2599
MEM 3.253906 1673634477.3699
MEM 3.253906 1673634477.4799
